Name,Class,Role,Tier,Score,Trend,Win %,Role %,Pick %,Ban %,KDA
Janna,Support,SUPPORT,S,65.44,9.2,0.534,0.9806,0.0604,0.0252,3.24
Jarvan IV,Tank,JUNGLE,A,49.78,-4.17,0.4946,0.9191,0.0374,0.0048,3.15
Jax,Fighter,TOP,S,62.21,-4.73,0.5004,0.8166,0.0537,0.0815,1.55
Jax,Fighter,JUNGLE,D,31.32,-2.95,0.4723,0.152,0.0104,0.0815,1.99
Jayce,Fighter,TOP,A,59.4,1.26,0.4783,0.8452,0.059,0.02,1.72
Jayce,Fighter,MID,C,38.66,-4.87,0.4936,0.1378,0.0086,0.02,2.05
Jhin,Marksman,ADC,God,81.84,6.03,0.5107,0.9783,0.1811,0.0491,2.89
Jinx,Marksman,ADC,God,92.47,14.77,0.5061,0.9889,0.2262,0.1072,2.32
Kai'Sa,Marksman,ADC,S,66.15,10.84,0.4963,0.7699,0.1464,0.044,2.41
Kai'Sa,Marksman,MID,B,44.75,0,0.4686,0.214,0.0381,0.044,2.13
Kalista,Marksman,ADC,D,29.04,-8.35,0.4846,0.8811,0.0168,0.0029,2.24
Karma,Mage,SUPPORT,S,69.88,13.79,0.4918,0.8081,0.0957,0.0625,2.67
Karma,Mage,MID,A,48.14,0.82,0.5095,0.1164,0.0143,0.0625,2.89
Karthus,Mage,MID,B,41.98,4.12,0.5161,0.1492,0.0048,0.0199,2.15
Karthus,Mage,ADC,B,41,-1.86,0.5465,0.2364,0.0096,0.0199,2.22
Karthus,Mage,JUNGLE,C,35.4,-0.14,0.4719,0.5349,0.0177,0.0199,2.39
Kassadin,Assassin,MID,A,50.8,-4.36,0.4951,0.9619,0.0364,0.0931,2.35
Katarina,Assassin,MID,S,62.24,3.34,0.4924,0.9387,0.0717,0.0948,2.21
Kayle,Fighter,TOP,A,56.4,2.67,0.5242,0.7346,0.0366,0.0144,1.8
Kayle,Fighter,MID,B,46.38,1.58,0.53,0.2273,0.0103,0.0144,2.17
Kayn,Fighter,JUNGLE,S,69.57,-1.73,0.5059,0.9646,0.1012,0.1178,2.37
Kennen,Mage,MID,B,42.47,-2.89,0.5155,0.1457,0.004,0.0064,2.33
Kennen,Mage,TOP,B,41.03,10.71,0.4934,0.8148,0.0218,0.0064,1.96
Kha'Zix,Assassin,JUNGLE,S,63.47,1.72,0.5087,0.9833,0.0803,0.0788,2.55
Kindred,Marksman,JUNGLE,A,48.2,-0.77,0.503,0.9278,0.0427,0.0311,2.2
Kled,Fighter,TOP,B,43.59,3.55,0.5091,0.8704,0.0156,0.0081,2.34
Kled,Fighter,MID,B,42.19,0,0.5127,0.1031,0.0016,0.0085,2.52
Kog'Maw,Marksman,MID,B,39.77,0,0.5093,0.1151,0.002,0.0034,2.15
Kog'Maw,Marksman,ADC,C,36.38,-5.5,0.5192,0.8409,0.017,0.0034,2.18
LeBlanc,Assassin,MID,A,51.25,2.22,0.4717,0.9348,0.0453,0.0807,2.67
Lee Sin,Fighter,JUNGLE,God,90.64,0.06,0.4808,0.9441,0.1699,0.1523,2.65
Leona,Tank,SUPPORT,S,60.91,9.03,0.4956,0.988,0.0742,0.1059,2.33
Lillia,Fighter,JUNGLE,B,45.43,-0.43,0.4968,0.8553,0.0314,0.01,2.57
Lillia,Fighter,TOP,D,32.68,4.77,0.5028,0.1056,0.0044,0.0107,1.99
Lissandra,Mage,MID,A,48.51,2.48,0.5086,0.902,0.0252,0.0076,2.38
Lucian,Marksman,ADC,A,53.67,7.4,0.5158,0.8205,0.0846,0.0216,2.34
Lucian,Marksman,MID,C,35.96,0,0.4779,0.1202,0.0108,0.0216,1.94
Lulu,Support,SUPPORT,God,87.73,21.82,0.5081,0.9515,0.1079,0.1901,3.01
Lux,Mage,SUPPORT,God,83.95,22.47,0.4976,0.6434,0.1187,0.1149,2.4
Lux,Mage,MID,S,63.87,-0.85,0.5102,0.3188,0.0563,0.1149,2.79
Malphite,Tank,TOP,S,63.4,-1.23,0.5103,0.7362,0.0455,0.0429,2.34
Malphite,Tank,MID,B,42.05,5.02,0.5045,0.1134,0.0073,0.0429,2.4
Malphite,Tank,SUPPORT,D,29.18,0,0.4913,0.1111,0.0072,0.0431,2.03
Malzahar,Mage,MID,A,50.9,-1.35,0.5161,0.9,0.0308,0.0298,2.19
Maokai,Tank,SUPPORT,C,37.21,-4.08,0.5189,0.7296,0.0106,0.0012,2.22
Maokai,Tank,TOP,D,27.46,-0.63,0.4827,0.2065,0.0027,0.0012,2.06
Master Yi,Assassin,JUNGLE,S,70.85,0.04,0.5002,0.8998,0.0924,0.2249,1.95
Miss Fortune,Marksman,ADC,A,51.89,0.12,0.5048,0.9307,0.0898,0.0198,2.22
Mordekaiser,Fighter,TOP,S,68.23,0.61,0.5099,0.8178,0.0564,0.0697,1.82
Mordekaiser,Fighter,JUNGLE,B,40.8,0.59,0.5164,0.1078,0.0071,0.0697,2.21
Morgana,Mage,SUPPORT,God,72.56,16.49,0.4898,0.8783,0.0794,0.2674,2.44
Nami,Support,SUPPORT,S,71.18,12.03,0.5205,0.9944,0.0845,0.0119,3.16
Nasus,Fighter,TOP,A,57.57,-2.6,0.5008,0.8062,0.0448,0.0445,1.85
Nautilus,Tank,SUPPORT,God,79.05,24.58,0.508,0.9746,0.1082,0.1121,2.37
Neeko,Mage,MID,A,49.07,-3.7,0.5229,0.5865,0.0201,0.0058,2.32
